(๑•̀ㅂ•́)و✧	棒
ヾ(≧▽≦*)o	爆笑
o(*≧▽≦)ツ	爆笑
(o゜▽゜)o☆[BINGO!]	bingo
～(￣▽￣～)(～￣▽￣)～	得瑟
<(￣︶￣)>	得意
嗯~o(*￣▽￣*)o	嗯哪
︿(￣︶￣)︿	飞
．<{=．．．．（嘎~嘎~嘎~）	嘎嘎
(￣▽￣)～■干杯□～(￣▽￣)	干杯
φ(゜▽゜*)♪	高兴
╰(￣▽￣)╭	跟你说
<(￣︶￣)↗[GO!]	go
o(￣▽￣)ｄ	good
*´∀`)´∀`)*´∀`)*´∀`)	哈哈哈哈
(｡･∀･)ﾉﾞ	嗨
ヾ(≧∇≦*)ゝ	嗨
(u‿ฺu✿ฺ)	好滴
（゜▽＾*））	好滴
(*^▽^*)	好开心
ヽ(✿ﾟ▽ﾟ)ノ	好耶
(´▽`ʃ♡ƪ)	happy
Hi~o(*￣▽￣*)ブ	hi
○(＾皿＾)っHiahiahia…	hiahia
((へ(へ´∀`)へ	high
^O^	吼吼
(＾∀＾）／欢迎＼(＾∀＾）	欢迎
ヾ(￣ー￣)X(^▽^)ゞ	获胜
╰(*°▽°*)╯	惊喜
⊙▽⊙	惊喜
(￣ー￣)人(^▽^)	击掌
♪(^∇^*)	啦啦
..φ(0￣*)啦啦啦_φ(*￣0￣)′	啦啦啦
(๑´ㅂ`๑)	乐
φ(≧ω≦*)♪	乐
(≧∀≦)ゞ	乐呵
(๑¯∀¯๑)	满足
o(*￣︶￣*)o	满足
<(*￣▽￣*)/	咩哈哈
ε(*´･∀･｀)зﾞ	噢耶
（≧0≦）//（-_-。）・・・	哦哦
(ﾟ∀ﾟ)ﾉ♡	噢耶
(^&^)/	噢耶
””\(￣ー￣)(￣ー￣)//””	拍手
o(*≧▽≦)ツ┏━┓	拍桌
(～￣▽￣)～	飘
(/≧▽≦)/	噗
(☆▽☆)	期待
*★,°*:.☆(￣▽￣)/$:*.°★*。	散花
✧(≖◡≖✿)	闪
ㄟ(≧◇≦)ㄏ	太棒了
ヽ(ﾟ∀ﾟ*)ﾉ━━━ｩ♪	逃
(*︾▽︾)	陶醉
☆⌒(*＾-゜)vTHX!!	谢谢
♪(´∇`*)	天啊
||ヽ(*￣▽￣*)ノミ|Ю	我回来啦
~(～￣▽￣)～	我来了
(p≧w≦q)	兴奋
