# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1946
#@/user_id	7ce4dbd7-6f89-4799-8667-6ada7e25db6d
a 	啊	c=6 d=1.55342 t=1946
a a a 	呵呵呵	c=1 d=1 t=1738
a hua 	阿花	c=0 d=0.1 t=1677
a p p l e 	apple	c=2 d=1.99501 t=1714
a tan nei zhuan 	阿潭内传	c=1 d=1 t=1681
a ya mi 	阿亚米	c=1 d=1 t=1679
a yu wang 	阿育王	c=1 d=1 t=1676
a zhi tai ke bao long 	阿芝台克暴龙	c=1 d=1 t=1680
a zhu 	阿朱	c=0 d=0.199501 t=1677
a zhu he a hua 	阿朱呵呵花	c=1 d=1 t=1677
a zhu he a hua 	阿朱和阿花	c=1 d=1 t=1678
ai 	愛	c=2 d=1.96079 t=1928
ai er bu lang ji 	埃爾布朗基	c=1 d=1 t=1567
ai xin 	愛心	c=1 d=1 t=1918
an 	俺	c=1 d=0.123168 t=1932
an 	按	c=1 d=1 t=1100
an hui 	安徽	c=1 d=1 t=1077
an quan 	安全	c=1 d=1 t=1375
an shang de lin ge 	岸上的林戈	c=1 d=1 t=1682
an zhuang 	安裝	c=12 d=4.22571 t=1946
an zhuang cha jian 	安裝插件	c=1 d=1 t=1067
an zhuang guo 	安装过	c=1 d=1 t=1789
ao men 	澳門	c=1 d=0.219808 t=1946
ba 	吧	c=3 d=2.42871 t=1186
ba 	把	c=4 d=0.111427 t=1946
bai mao 	白毛	c=0 d=0.1 t=1750
bai mao hu lv shui 	白毛湖綠水	c=2 d=1.99501 t=1752
bai yun gu fei 	白雲孤飛	c=1 d=1 t=1556
ban 	半	c=1 d=1 t=1811
ban ben 	版本	c=1 d=0.025223 t=1946
ban tian shi jian 	半天时间	c=1 d=1 t=1831
bang 	棒	c=0 d=0.1 t=1300
bao cun 	保存	c=1 d=0.108609 t=1946
bao han 	包含	c=1 d=0.146607 t=1946
bao han ru xia 	包含如下	c=1 d=1 t=1575
bao yang 	保養	c=0 d=0.1 t=1169
bao yang 	包養	c=1 d=1 t=1175
bao zhuang 	包裝	c=0 d=0.1 t=1940
bei 	被	c=1 d=0.207008 t=1946
bei bao yang 	被保養	c=1 d=1 t=1170
bei fen 	備份	c=0 d=0.1 t=1945
bei jing 	背景	c=3 d=0.227433 t=1946
bei jing se 	背景色	c=1 d=0.0483156 t=1946
ben 	本	c=1 d=0.146265 t=1946
ben 	犇	c=1 d=1 t=1784
ben ye mian 	本頁面	c=1 d=0.0257325 t=1946
ben zhe 	本着	c=1 d=1 t=1821
bi ru 	比如	c=5 d=0.284411 t=1946
bi xu 	必須	c=1 d=1 t=903
bi xuan 	必選	c=1 d=1 t=1327
biao 	猋	c=1 d=1 t=1776
biao 	表	c=3 d=0.290931 t=1946
biao 	驫	c=1 d=1 t=1777
biao qing 	表情	c=4 d=1.43276 t=1946
bin shuang 	鬢霜	c=0 d=0.1 t=1648
bing 	並	c=1 d=1 t=1608
bo luo 	菠蘿	c=1 d=1 t=1912
bu bi 	不必	c=2 d=0.580126 t=1946
bu ding 	布丁	c=2 d=1.49659 t=1254
bu ding qi 	不定期	c=1 d=0.190139 t=1946
bu dong 	不動	c=1 d=0.650509 t=1946
bu dui 	不對	c=1 d=1 t=1480
bu fa 	不發	c=1 d=0.212248 t=1946
bu fang bian 	不方便	c=1 d=1 t=1210
bu fen 	部分	c=1 d=1 t=880
bu guo 	不過	c=1 d=1 t=1864
bu hao yi si 	不好意思	c=1 d=1 t=1311
bu hui 	不會	c=4 d=0.804942 t=1946
bu jiao 	不叫	c=1 d=1 t=1167
bu jiu shi 	不就是	c=1 d=0.0420036 t=1946
bu kan 	不看	c=1 d=1 t=1141
bu liao jie 	不瞭解	c=1 d=1 t=1157
bu mai 	不賣	c=1 d=1 t=1257
