身份证	身份证 🪪
手机	手机 📱 📲
吃瓜	吃瓜 [吃瓜]
奸笑	奸笑 [奸笑]
机智	机智 [机智]
耶	耶 [耶]
天啊	天啊 [天啊] ヽ(´･д･｀)ﾉ
社会	社会 [社会社会]
好的	好的 [好的]
打脸	打脸 [打脸]
翻白眼	翻白眼 [翻白眼]
苦涩	苦涩 [苦涩]
裂开	裂开 [裂开]
抠鼻	抠鼻 [抠鼻]
敬礼	敬礼 🫡 ∠(°ゝ°） (`ー´)7
致敬	致敬 🫡 ∠(°ゝ°） (`ー´)7
切	切  •᷄ࡇ•᷅  (ˉ▽￣～)切~~
出窍	出窍 0(:3)～=͟͟͞͞('､3)_ヽ)＿
bye	bye ヾ(￣▽￣)Bye~Bye~ (ToT)/~~~
不懂	不懂 (＠_＠;) ヾ(°ｰ°ヾ)^?啊咧？
去	去 乀(ˉεˉ乀) (ーー゛)
严肃	严肃 (･᷄ὢ･᷅)
悲剧	悲剧 (＞﹏＜)
睡醒	睡醒 ('-ωก̀) (つω｀)～
淡定	淡定 ━━(￣ー￣*|||━━
滚	滚 (ノ｀Д)ノ滚~
没问题	没问题 (〃･ิ‿･ิ)ゞ
最左	最左 ←_←
最右	最右 →_→
啊	啊 w(ﾟДﾟ)w (＃°Д°)啊？ ヽ(´･д･｀)ﾉ Ｏ(≧口≦)Ｏ
呃	呃 (⊙﹏⊙)呃~~ -________-'' (⊙﹏⊙)
别	别 (＞﹏＜)
吓	吓 !!!∑(°Д°ノ)ノ (☄⊙ω⊙)☄ (*Φ皿Φ*)
嗷	嗷 ┗|｀O′|┛嗷~~ ヾ(≧O≦)〃嗷~ (>▽<)
喂	喂 (#`O′)
呆	呆 (⊙_⊙)
呵呵	呵呵 눈_눈 (￣▽￣)"
嘚瑟	嘚瑟 ʅ（´◔౪◔）ʃ ～(￣▽￣～)~ 〜(￣▽￣〜)(〜￣▽￣)〜 ⁽⁽ଘ(ˊᵕˋ)ଓ⁾⁾
哈	哈 ⸜(⌓̈)⸝
